{'dt': 2.357627, 'sns': [776, 711, 833, 653, 677]}
{'dt': 2.354183, 'sns': [771, 710, 836, 652, 677]}
{'dt': 2.347127, 'sns': [771, 713, 837, 652, 676]}
{'dt': 2.365998, 'sns': [774, 713, 838, 649, 672]}
{'dt': 2.358053, 'sns': [776, 712, 832, 645, 669]}
{'dt': 2.352238, 'sns': [774, 708, 825, 641, 667]}
{'dt': 2.357776, 'sns': [767, 703, 823, 643, 663]}
{'dt': 2.370164, 'sns': [745, 697, 816, 639, 660]}
{'dt': 2.359942, 'sns': [759, 699, 804, 635, 658]}
{'dt': 2.356961, 'sns': [756, 691, 792, 634, 656]}
{'dt': 2.352849, 'sns': [745, 684, 780, 631, 650]}
{'dt': 2.370516, 'sns': [732, 676, 758, 623, 640]}
{'dt': 2.373757, 'sns': [721, 661, 680, 610, 623]}
{'dt': 2.368053, 'sns': [701, 641, 687, 593, 599]}
{'dt': 2.359183, 'sns': [678, 614, 648, 580, 575]}
{'dt': 2.352886, 'sns': [647, 586, 613, 561, 548]}
{'dt': 2.354146, 'sns': [617, 558, 575, 540, 519]}
{'dt': 2.353313, 'sns': [591, 530, 539, 517, 487]}
{'dt': 2.356312, 'sns': [554, 501, 471, 496, 459]}
{'dt': 2.368664, 'sns': [541, 478, 475, 476, 438]}
{'dt': 2.353887, 'sns': [517, 451, 408, 456, 421]}
{'dt': 2.358035, 'sns': [496, 428, 417, 438, 408]}
{'dt': 2.350108, 'sns': [474, 407, 395, 422, 396]}
{'dt': 2.347572, 'sns': [453, 391, 377, 402, 378]}
{'dt': 2.349924, 'sns': [427, 377, 359, 383, 363]}
{'dt': 2.362683, 'sns': [395, 361, 348, 368, 349]}
{'dt': 2.354497, 'sns': [377, 349, 346, 351, 330]}
{'dt': 2.358239, 'sns': [355, 339, 344, 329, 306]}
{'dt': 2.356682, 'sns': [342, 330, 337, 315, 285]}
{'dt': 7.29701, 'sns': [312, 306, 316, 294, 271]}
{'dt': 2.406849, 'sns': [314, 301, 294, 289, 261]}
{'dt': 2.357942, 'sns': [316, 288, 279, 291, 276]}
{'dt': 2.347516, 'sns': [313, 280, 272, 289, 287]}
{'dt': 2.340442, 'sns': [313, 276, 266, 282, 293]}
{'dt': 2.345998, 'sns': [316, 271, 257, 279, 300]}
{'dt': 2.347868, 'sns': [316, 262, 258, 277, 305]}
{'dt': 2.337628, 'sns': [307, 262, 266, 280, 308]}
{'dt': 2.348849, 'sns': [295, 267, 281, 280, 303]}
{'dt': 2.35335, 'sns': [296, 281, 295, 270, 290]}
{'dt': 2.344331, 'sns': [296, 293, 246, 263, 272]}
{'dt': 2.358849, 'sns': [298, 295, 304, 263, 260]}
{'dt': 2.354609, 'sns': [283, 291, 307, 265, 253]}
{'dt': 2.349239, 'sns': [296, 294, 307, 257, 245]}
{'dt': 2.361256, 'sns': [304, 290, 296, 257, 245]}
{'dt': 2.365183, 'sns': [312, 276, 286, 261, 255]}
{'dt': 2.35172, 'sns': [314, 265, 276, 268, 271]}
{'dt': 2.349201, 'sns': [315, 257, 272, 275, 287]}
{'dt': 2.365665, 'sns': [311, 256, 273, 274, 293]}
{'dt': 2.367701, 'sns': [315, 261, 270, 269, 293]}
{'dt': 2.362035, 'sns': [314, 261, 229, 269, 293]}
{'dt': 2.35996, 'sns': [304, 262, 280, 269, 291]}
{'dt': 2.359664, 'sns': [297, 271, 294, 262, 278]}
{'dt': 2.353757, 'sns': [295, 279, 300, 255, 265]}
{'dt': 2.349683, 'sns': [296, 277, 304, 251, 256]}
{'dt': 2.349739, 'sns': [294, 275, 305, 252, 253]}
{'dt': 2.358553, 'sns': [291, 272, 304, 255, 253]}
{'dt': 2.362738, 'sns': [297, 271, 301, 253, 252]}
{'dt': 2.356387, 'sns': [304, 268, 288, 250, 250]}
{'dt': 2.346146, 'sns': [310, 257, 275, 256, 257]}
{'dt': 2.350923, 'sns': [310, 246, 270, 265, 269]}
{'dt': 2.346813, 'sns': [307, 244, 270, 268, 276]}
{'dt': 2.34672, 'sns': [308, 247, 267, 267, 280]}
{'dt': 2.348016, 'sns': [308, 249, 263, 267, 285]}
{'dt': 2.343201, 'sns': [304, 249, 266, 268, 289]}
{'dt': 2.354202, 'sns': [291, 254, 276, 269, 291]}
{'dt': 2.362423, 'sns': [293, 265, 289, 266, 287]}
{'dt': 2.353387, 'sns': [292, 278, 298, 255, 274]}
{'dt': 2.357627, 'sns': [294, 281, 298, 249, 265]}
{'dt': 2.358887, 'sns': [292, 276, 299, 251, 262]}
{'dt': 2.349201, 'sns': [287, 272, 299, 252, 260]}
{'dt': 2.356998, 'sns': [287, 269, 294, 246, 252]}
{'dt': 2.358997, 'sns': [295, 263, 280, 248, 253]}
{'dt': 2.353646, 'sns': [298, 248, 272, 255, 261]}
{'dt': 2.348646, 'sns': [294, 241, 224, 266, 275]}
{'dt': 2.363053, 'sns': [295, 239, 272, 277, 284]}
{'dt': 2.351368, 'sns': [296, 245, 274, 277, 285]}
{'dt': 2.351664, 'sns': [303, 255, 274, 275, 289]}
{'dt': 2.357887, 'sns': [306, 260, 278, 281, 293]}
{'dt': 2.353553, 'sns': [303, 271, 287, 280, 293]}
{'dt': 2.355294, 'sns': [305, 287, 270, 265, 281]}
{'dt': 2.353757, 'sns': [311, 296, 293, 253, 268]}
{'dt': 2.350294, 'sns': [315, 278, 290, 243, 259]}
{'dt': 2.355313, 'sns': [310, 277, 288, 243, 257]}
{'dt': 2.351201, 'sns': [306, 265, 287, 250, 258]}
{'dt': 2.346183, 'sns': [303, 257, 283, 248, 256]}
{'dt': 2.352868, 'sns': [303, 249, 273, 253, 268]}
{'dt': 2.360701, 'sns': [303, 235, 267, 265, 271]}
{'dt': 2.350887, 'sns': [296, 233, 271, 280, 284]}
{'dt': 2.351257, 'sns': [294, 240, 278, 283, 289]}
{'dt': 2.350238, 'sns': [297, 255, 278, 283, 290]}
{'dt': 2.35459, 'sns': [303, 265, 177, 279, 289]}
{'dt': 2.352683, 'sns': [305, 271, 283, 277, 289]}
{'dt': 2.347961, 'sns': [306, 278, 291, 270, 284]}
{'dt': 2.358886, 'sns': [309, 286, 280, 256, 269]}
{'dt': 2.355831, 'sns': [312, 289, 297, 245, 256]}
{'dt': 2.354424, 'sns': [314, 280, 296, 241, 251]}
{'dt': 2.34822, 'sns': [305, 270, 296, 247, 253]}
{'dt': 2.34185, 'sns': [296, 263, 297, 252, 256]}
{'dt': 2.354997, 'sns': [293, 261, 295, 251, 255]}
{'dt': 2.359109, 'sns': [297, 260, 286, 255, 262]}
