{'flv': {'dt': 1, 'sns': [783, 265, 272, 267, 660], 'sp': 12, 'tn': -12.0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -20, 'o': -12.0, 'po': -6.0, 'io': 0, 'do': -6.0}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 260, 660], 'sp': 12, 'tn': -1.7999999999999998}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -13, 'o': -1.7999999999999998, 'po': -3.9, 'io': 0, 'do': 2.1}}
{'flv': {'dt': 1, 'sns': [783, 265, 272, 250, 660], 'sp': 12, 'tn': 0}, 'lp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}, 'rp': {'dt': 1, 'err': -3, 'o': 2.1, 'po': -0.8999999999999999, 'io': 0, 'do': 3.0}}
{'flv': {'dt': 1, 'sns': [783, 270, 274, 252, 660], 'sp': 12, 'tn': 3.0}, 'lp': {'dt': 1, 'err': -5, 'o': -3.0, 'po': -1.5, 'io': 0, 'do': -1.5}, 'rp': {'dt': 1, 'err': -5, 'o': -2.1, 'po': -1.5, 'io': 0, 'do': -0.6}}
{'flv': {'dt': 1, 'sns': [783, 274, 272, 247, 660], 'sp': 12, 'tn': 3.8999999999999995}, 'lp': {'dt': 1, 'err': -9, 'o': -3.8999999999999995, 'po': -2.6999999999999997, 'io': 0, 'do': -1.2}, 'rp': {'dt': 1, 'err': 0, 'o': 1.5, 'po': 0.0, 'io': 0, 'do': 1.5}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 247, 660], 'sp': 12, 'tn': 3.9}, 'lp': {'dt': 1, 'err': -11, 'o': -3.9, 'po': -3.3, 'io': 0, 'do': -0.6}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 279, 272, 247, 660], 'sp': 12, 'tn': 5.1}, 'lp': {'dt': 1, 'err': -14, 'o': -5.1, 'po': -4.2, 'io': 0, 'do': -0.8999999999999999}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 276, 272, 247, 660], 'sp': 12, 'tn': 2.4}, 'lp': {'dt': 1, 'err': -11, 'o': -2.4, 'po': -3.3, 'io': 0, 'do': 0.8999999999999999}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 274, 272, 247, 660], 'sp': 12, 'tn': 2.0999999999999996}, 'lp': {'dt': 1, 'err': -9, 'o': -2.0999999999999996, 'po': -2.6999999999999997, 'io': 0, 'do': 0.6}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
{'flv': {'dt': 1, 'sns': [783, 270, 272, 247, 660], 'sp': 12, 'tn': 0.30000000000000004}, 'lp': {'dt': 1, 'err': -5, 'o': -0.30000000000000004, 'po': -1.5, 'io': 0, 'do': 1.2}, 'rp': {'dt': 1, 'err': 0, 'o': 0.0, 'po': 0.0, 'io': 0, 'do': 0.0}}
